ID,SMILES,affinity,COM,RMSD,mcs_size,PLIP_sim_1MVN,PLIP_sim_1QZU_pred,Cluster
KKK,CC(=O)N1CCN(CC1)c2ccc(cc2)OC[C@H]3CO[C@](O3)(Cn4ccnc4)c5ccc(cc5Cl)Cl,-7.39,5.50349491455785,0.943371697051882,5,0,0.2,1471
EN3,c1cc2cc(c1)OCC/C=C/CCOc3cccc(c3)CC(=O)Nc4nnc(s4)CCCCc5ccc(nn5)NC(=O)C2,-9.3,34.5298049502932,2.38418579101562e-07,1,0,0,no
4Q9,Cc1ccccc1OS(=O)(=O)[C@@H]2CC3C(=C([C@@H]2O3)c4ccc(cc4)O)c5ccc(cc5)O,-8.53,33.724719821062,1.9672823372823,4,0,0,no
67C,CN(C)C(=O)c1cccc(c1)C2=CN(C(=O)c3c2cc[nH]3)CCC=C,-7.48,7.34248928428604,1.21623776273738,8,0,0.2,no
AQY,Cc1cc(ccc1F)c2c(n3c(n2)cccn3)c4ccnc(c4)NC(=O)c5cc[n+](c(c5)C)[O-],-8.51,33.6870275277139,0.295950160388265,4,0,0,2563
GFJ,Cc1nc2c(cc(cc2n1c3ccnc4c3c(ccc4F)F)c5ccnc(c5F)N)c6[nH]cnn6,-8.57,33.8003085769273,1.61467055809495,4,0,0,no
OD9,c1cc(ccc1Cc2ccc(c(c2)O)O)CNS(=O)(=O)c3cc(c(cc3c4ccc(c(c4)O)O)O)O,-9.28,34.5696769474838,8.47253115587536,5,0,0,no
054,c1cc2c(cc1C(F)(F)F)c(c(n2Cc3ccnc(c3)N)C(=O)O)N4C(=O)c5cscc5NC4=O,-8.32,33.1959146828068,7.0457108733636,3,0,0,2658
YAQ,CCCCCN1c2nc(cn2C(=O)C=C1C)c3ccc(cc3)Cl,-6.95,3.77185457581982,0.908028471569868,9,0,0.4,2842
4EL,Cc1nnc(s1)NS(=O)(=O)c2ccc(cc2)NCc3cc(cc(c3)C(=O)O)c4ccc(nc4)OC,-8,30.2508098167505,7.04091194929589,5,0,0,576
81O,CCCCOc1ccc(cc1CNC(=O)c2ccc(cc2F)C(F)(F)F)c3c(c(cnc3C)C(=O)O)C,-8.32,33.2480479801125,3.82535735057523,10,0,0,no
G3O,c1cc(c(c2c1[C@@H](O[C@@H](C2)C34CC5CC(C3)CC(C5)C4)CN)O)O,-8.06,31.419933880994,7.00805233575399,5,0,0,no
UIM,Cc1ccnc(n1)Oc2ccc(cc2)c3c4c(ncnc4n(c3c5ccc(cc5)NC(=O)C(C)C)C)N,-8.11,32.0152024246737,1.76357328218935,10,0,0,no
S25,c1cnc(cc1N2CCOCC2)Nc3ncc(s3)c4cc(cnc4)C(=O)NCCN,-7.06,5.49463042869686,5.30020610829426,9,0.2,0.2,no
ULN,C[C@@H](c1ccccc1)c2cc(cc(n2)C(=O)NC)C(=O)NC3[C@H]4[C@@H]3COC4,-7.87,27.9165256614798,5.8140576338357,6,0,0,1552
4K7,Cc1ccc(cc1)CNC(=O)N2CCC[C@@]3(C2)CCN(C3)Cc4ccc(c(c4)Cl)Cl,-7.73,6.51834881786107,7.39987462102399,6,0,0,no
FR0,c1ccc2c(c1)[nH]c(n2)NCc3ccc(s3)c4csc(n4)N=C(N)N,-8.19,32.7012943054772,6.55404532291578,5,0,0,no
3T8,CNC(=O)c1ccc-2c(c1)OCCc3c2sc(c3)C(=O)N(C)c4ccc(cc4Cl)C(=O)N5CCN(CC5)C,-7.79,9.02176193563774,5.81547743229866,6,0,0,1057
SKI,COc1cc2c(cc1OC)ncnc2Nc3ccc(cc3)Oc4ccccc4,-7.29,5.12888976412283,0.633943350967674,4,0.2,0,2200
8Y2,CCS(=O)(=O)c1ccc(cc1)CC(=O)Nc2cc(cs2)c3cccnc3OCc4ccccc4,-7.82,26.402527944313,6.33756184168606,6,0,0,no
A1IG3,c1ccc(cc1)C(c2ccccc2)C3CCN(CC3)C(=O)N4CC[C@H]5[C@@H](C4)NC(=O)CO5,-9,34.5178842111031,1.8454630530199,2,0,0,2598
K3X,Cc1c(nc2n1ccc(c2)C(=O)N3CCC[C@H](C3)N)c4cc5ccccc5n4Cc6ccc(cc6)F,-8.34,33.4318304200391,1.3597901600825,4,0,0,2639
